Filename,Original Size (bytes),Compressed Size (bytes),Compression Ratio,Time to Compress (seconds),Entropy,Redundancy,Coding Technique
1280-720-sample.bmp,2764856,2699699,1.0241349128180586,4.2043938636779785,7.7836669062073165,0.02544116670935015,huffman
1280-720-sample.bmp,2764856,5771210,0.47907735119671613,10.621365785598755,3.430967209906596,0.5711290987616755,lzw
1280-720-sample.bmp,2764856,10995223,0.2514597475649198,1.9895133972167969,7.7836669062073165,0.02704163672408544,rle
1280-720-sample.bmp,2764800,1898186,1.4565485152666808,0.20728302001953125,7.783666906207316,0.3320110157142452,deflate
1280-720-sample.bmp,2764856,1393440,1.9841945114249626,33.32096862792969,3.506081599609502,12.493918400390498,predictive_coding
1280-720-sample.bmp,2764856,1099211,2.515309617534759,0.4972269535064697,7.783666906207315,0.21633309379268528,jpeg2000
1280-720-sample.bmp,2764856,315110,8.774256608803276,0.2821223735809326,7.79150278165991,0.20849721834009038,webp
1280-720-sample.bmp,2764856,1155108,2.3935909023225532,1.3315539360046387,7.783666906207315,0.21633309379268528,png
1920-1080-sample.bmp,6220856,6076236,1.0238009188583195,9.915926456451416,7.787976790436483,0.02499035205322908,huffman
1920-1080-sample.bmp,6220856,11472506,0.5422403788675291,26.84048628807068,3.4305545104724806,0.5711806861909399,lzw
1920-1080-sample.bmp,6220856,18694248,0.33276845369762936,4.033190727233887,7.787976790436483,0.026502901195439632,rle
1920-1080-sample.bmp,6220800,2417801,2.572916464175505,0.35838747024536133,7.787976790436485,0.6216367253429196,deflate
1920-1080-sample.bmp,6220856,2132160,2.9176309470208617,38.8142786026001,2.5614024108834745,13.438597589116526,predictive_coding
1920-1080-sample.bmp,6220856,2439525,2.550027566841906,0.45632219314575195,7.787976790436485,0.21202320956351528,jpeg2000
1920-1080-sample.bmp,6220856,668236,9.30936974362351,0.25903892517089844,7.789900692451261,0.21009930754873896,webp
1920-1080-sample.bmp,6220856,1709985,3.637959397304655,0.5991458892822266,7.787976790436485,0.21202320956351528,png
3840-2160-sample.bmp,24883256,24248981,1.026156769226715,16.422911167144775,7.772897696123838,0.02291871816371316,huffman
3840-2160-sample.bmp,24883256,32120178,0.7746923444820262,59.822118282318115,3.4326453647158286,0.5709193294105215,lzw
3840-2160-sample.bmp,24883256,68594509,0.36275871586164427,6.761614561080933,7.772897696123838,0.02838778798452024,rle
3840-2160-sample.bmp,24883200,13230903,1.8806879621141506,0.6548795700073242,7.772897696123838,0.483374046312683,deflate
3840-2160-sample.bmp,24883256,6576044,3.783924803422848,118.11013126373291,1.9537668939079793,14.046233106092021,predictive_coding
3840-2160-sample.bmp,24883256,5158867,4.823395524637483,1.2451050281524658,7.772897696123837,0.22710230387616281,jpeg2000
3840-2160-sample.bmp,24883256,1251106,19.88900700660056,0.9773826599121094,7.777437437562978,0.22256256243702222,webp
3840-2160-sample.bmp,24883256,6058244,4.107338033925342,7.6128249168396,7.772897696123837,0.22710230387616281,png
480-360-sample.bmp,518456,509082,1.0184135365226035,0.35674095153808594,7.817339321889955,0.025810755270538444,huffman
480-360-sample.bmp,518456,1294265,0.40057947947290545,0.9172160625457764,3.4063618473326764,0.5742047690834154,lzw
480-360-sample.bmp,518456,2196052,0.23608548431457907,0.17906618118286133,7.817339321889955,0.022832584763755603,rle
480-360-sample.bmp,518400,382222,1.3562798583022433,0.01546621322631836,7.817339321889965,0.279523758128032,deflate
480-360-sample.bmp,518456,310535,1.6695573767852254,2.5272748470306396,3.9185395070539584,12.081460492946041,predictive_coding
480-360-sample.bmp,518456,240737,2.153619925478842,0.04685664176940918,7.817339321889963,0.18266067811003683,jpeg2000
480-360-sample.bmp,518456,74066,6.999918991170038,0.025787830352783203,7.840257525653414,0.15974247434658562,webp
480-360-sample.bmp,518456,245605,2.1109342236517987,0.09670853614807129,7.817339321889963,0.18266067811003683,png
640-480-sample.bmp,921656,904002,1.0195287178568189,0.6089897155761719,7.813609673469092,0.026289415072574762,huffman
640-480-sample.bmp,921656,2153314,0.42801746517228795,1.7131116390228271,3.4043725922623698,0.5744534259672038,lzw
640-480-sample.bmp,921656,3769067,0.24453160424051895,0.32152795791625977,7.813609673469092,0.023298790816363546,rle
640-480-sample.bmp,921600,651974,1.4135533012052628,0.02994060516357422,7.813609673469089,0.3090453622436068,deflate
640-480-sample.bmp,921656,502699,1.8334152246175146,4.645432710647583,3.64880024976044,12.35119975023956,predictive_coding
640-480-sample.bmp,921656,387390,2.3791424662484832,0.0738668441772461,7.813609673469089,0.18639032653091103,jpeg2000
640-480-sample.bmp,921656,115550,7.976252704456945,0.04562115669250488,7.831513083206825,0.1684869167931753,webp
640-480-sample.bmp,921656,408929,2.2538289042841178,0.186967134475708,7.813609673469089,0.18639032653091103,png
sample1.bmp,823122,783961,1.0499527399959947,0.6065695285797119,7.60944202540338,0.03182456319927418,huffman
sample1.bmp,823122,1788191,0.46030988859691163,1.5043072700500488,3.4054720124820164,0.5743159984397479,lzw
sample1.bmp,823122,2703287,0.30448931245554023,0.2785913944244385,7.60944202540338,0.04881974682457746,rle
sample1.bmp,819840,386251,2.1225576115013296,0.026259899139404297,7.609442025403377,0.5518707016378075,deflate
sample1.bmp,823122,354732,2.3204052636920265,3.0447585582733154,3.9430181311942127,12.056981868805787,predictive_coding
sample1.bmp,823122,345023,2.3857018227770324,0.0720973014831543,7.609442025403377,0.3905579745966232,jpeg2000
sample1.bmp,823122,92872,8.862972693599794,0.031084775924682617,7.602987141785369,0.39701285821463106,webp
